"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000154451",1.74940647571116,8.42277655245593,8.68561538156246,1.79822166885578e-12,9.79671165192628e-09,18.0134810198184
"ENSG00000117228",1.62993340951055,7.87149477037382,7.45015353164016,2.78914617363043e-10,7.59763417696928e-07,13.2027439113619
"ENSG00000162654",1.25734350388711,6.95203708894082,7.29230287990981,5.31215502703314e-10,9.64687352909218e-07,12.5360051533993
"ENSG00000162645",1.09386337490101,8.45758905757618,7.01711534113941,1.62939552618024e-09,2.21923670665749e-06,11.5443871493273
"ENSG00000115415",1.08979697922909,8.81299674113244,6.73384709256258,5.1410243808051e-09,5.60166016532524e-06,10.4502294849765
"ENSG00000168685",-1.34853164119933,6.23104640076805,-6.54160521369346,1.11716060977386e-08,1.01438183367467e-05,9.63596839105774
"ENSG00000149131",1.68776967093272,5.47033463878475,6.30640353818412,2.87252937198926e-08,2.23564857408536e-05,8.56388195179458
"ENSG00000162747",1.39213724019816,6.97714231764692,6.13986811703152,5.58336029848255e-08,3.80226836326662e-05,8.15862779027268
"ENSG00000185880",0.863924515098224,7.04678788501489,5.90676226640545,1.4059838606376e-07,8.51088896972628e-05,7.29621155979789
"ENSG00000082074",0.472363352889129,10.3600010098655,5.86958685834525,1.62777581069292e-07,8.86812261665504e-05,7.15377513131932
"ENSG00000196954",0.570496685800126,7.52138165939122,5.78123279475684,2.30338257922823e-07,0.000101691291822014,6.83341532888726
"ENSG00000168899",1.04923012961059,5.23026126191041,5.81773110122012,1.99598203739634e-07,9.88555467248658e-05,6.80695844240095
"ENSG00000156587",0.869140118826506,7.66857570916395,5.76794402366916,2.42655432027567e-07,0.000101691291822014,6.78384486027677
"ENSG00000141574",0.812343457028132,6.00251718240607,5.70014921085258,3.16364353012997e-07,0.000123110928229629,6.50117721945596
"ENSG00000140105",0.878822403726364,9.20168838027158,5.46951975552868,7.74651480798226e-07,0.000281353417825916,5.66696529635783
"ENSG00000135636",0.942699941728717,7.86701260356131,5.44926675117265,8.37579737462427e-07,0.000285195900605957,5.60936547872964
"ENSG00000142089",1.18771799336108,8.60219087022302,5.42491326139467,9.19942815199246e-07,0.000294814615129735,5.51288670800487
"ENSG00000128335",0.846994787278875,6.33471604275178,5.32862918605795,1.33116403208737e-06,0.000402898980378443,5.1828555448526
"ENSG00000143546",1.39245190493406,10.4266725098632,5.18199358397741,2.32679491844283e-06,0.000662605532497868,4.62557184979343
"ENSG00000100911",0.690248132161844,7.25667646628919,5.17026921837178,2.43247258626236e-06,0.000662605532497868,4.61263714722894
"ENSG00000081059",-0.993842636002563,7.03817237459528,-5.06494947175743,3.61928315317197e-06,0.0009389454580229,4.23898466618484
"ENSG00000138119",1.03015915226897,6.7876860539503,5.01265772124522,4.40373436699638e-06,0.00108739433832261,4.0674454719962
"ENSG00000138772",1.34299639810457,6.02652264104488,4.98775260017657,4.83372673083708e-06,0.00108739433832261,3.97824914555719
"ENSG00000277734",-1.04519166027059,5.46281327286246,-4.98553760573798,4.87390309104995e-06,0.00108739433832261,3.96854384557696
"ENSG00000085449",0.617567650594265,5.80447358008402,4.97141682785976,5.13782999680997e-06,0.00108739433832261,3.92201187277107
"ENSG00000028116",0.670145380125191,5.96679645547007,4.96873705921455,5.18947371446181e-06,0.00108739433832261,3.91576320133369
"ENSG00000102524",0.805715623144109,5.75178597282142,4.88554976479652,7.07146003926624e-06,0.0014183061655753,3.62656643815616
"ENSG00000121858",0.958441087836735,5.86775549983054,4.87683219256837,7.30366148640429e-06,0.0014183061655753,3.60177570343828
"ENSG00000002549",0.957771829845592,7.0196472668521,4.86788536650506,7.54972077857631e-06,0.0014183061655753,3.55747050124469
"ENSG00000102931",-0.722830335506383,4.89390881729324,-4.85163700667054,8.01748723158919e-06,0.0014559756812566,3.47973205098356
"ENSG00000240065",0.61182376262922,7.38452183587535,4.81099450084726,9.31512176210674e-06,0.00163705752774056,3.34539832363745
"ENSG00000204397",0.693668380514775,6.99553775416165,4.79655783942558,9.82375322748934e-06,0.00166575175749038,3.31375040838696
"ENSG00000146592",0.880032275139382,6.37881820612243,4.78929207071071,1.00899060200409e-05,0.00166575175749038,3.30447310135491
"ENSG00000167106",-0.914035594048563,5.84444280503113,-4.78068581456083,1.04142846215652e-05,0.00166873595936139,3.27732726606043
"ENSG00000113368",0.774239186080806,6.92774569962426,4.75923042236927,1.12679534629218e-05,0.00175393744188566,3.18717577353281
"ENSG00000168610",0.407887519245033,8.62013960353928,4.69369430926023,1.432065898424e-05,0.00212614509636116,2.90702920969842
"ENSG00000125347",0.583633497889947,8.53866363428693,4.69142497644077,1.44396785178713e-05,0.00212614509636116,2.89931210954471
"ENSG00000198851",-1.05993072352128,5.45139055912942,-4.64961069968382,1.6813496641221e-05,0.00241052446582558,2.83638879631241
"ENSG00000163220",1.07554943146611,10.6400583877042,4.64137034064977,1.73242669536496e-05,0.0024200668298329,2.72818379207429
"ENSG00000106034",1.03795742785644,4.92685822838845,4.61605531827793,1.89898012282593e-05,0.00258641092728891,2.68591486421172
"ENSG00000173369",1.38293167362073,4.90219047356437,4.56714346332736,2.26609883993631e-05,0.00297920833079582,2.53149299424612
"ENSG00000173372",1.23586742885608,4.83357636092133,4.55607796637988,2.35827679979434e-05,0.00297920833079582,2.49433339966274
"ENSG00000119917",1.11267316623158,7.26897881090932,4.55668680518795,2.35311152088762e-05,0.00297920833079582,2.48661286922435
"ENSG00000143772",-0.551492091648167,6.65550157497221,-4.55050004972339,2.406115391979e-05,0.00297920833079582,2.48161980139727
"ENSG00000123609",0.580006553743168,6.63678562294825,4.5262868799637,2.62495488396987e-05,0.00310885961040606,2.40942631807248
"ENSG00000119922",0.885788986007505,7.22574247117973,4.53341548860835,2.55859045400376e-05,0.00309760017631388,2.40845512030899
"ENSG00000111371",-0.711158499578113,6.54750398081493,-4.50896583744198,2.79326053602917e-05,0.0031703507083931,2.34664419602497
"ENSG00000221963",0.628861912829579,7.56011202361199,4.51510611503642,2.73242927411683e-05,0.00316729248625287,2.32937239910051
"ENSG00000086300",0.620473070121374,6.58710167043033,4.48871724017575,3.00333921479945e-05,0.00323050675008764,2.28330266296895
"ENSG00000135148",0.544457224509499,6.7109046676456,4.48455223266633,3.04841743391867e-05,0.00323050675008764,2.26892813780416
"ENSG00000133639",-0.481007638929124,7.45174958025939,-4.4813565421998,3.08344990830686e-05,0.00323050675008764,2.21545499456196
"ENSG00000152229",0.696065885169,7.50617837334029,4.47528098862858,3.15113501410754e-05,0.00323912897299205,2.20890162218696
"ENSG00000213626",-0.732964297307609,7.63258088372375,-4.48149273514821,3.08194895386918e-05,0.00323050675008764,2.20601975496062
"ENSG00000274641",1.0318043990958,6.80457018219749,4.36721077481326,4.62630278139459e-05,0.00466742547278477,1.88955039223143
"ENSG00000287263",0.811630972243679,5.0580427842875,4.30157504219421,5.82904257492962e-05,0.00567082570503867,1.69942354429767
"ENSG00000204264",0.382816177778204,7.40928000953908,4.31915134720586,5.48013350117342e-05,0.00542832132988959,1.68503970544421
"ENSG00000170989",-0.808518631936137,4.95289195619821,-4.28505789308332,6.17647915429904e-05,0.00576348984677773,1.65319192303912
"ENSG00000158161",0.48159526428732,5.88530588290678,4.27725735241181,6.34745577838957e-05,0.00576348984677773,1.62412732018251
"ENSG00000118113",1.82318004643866,4.37094444012936,4.27836276709741,6.32295090512082e-05,0.00576348984677773,1.57559310251164
"ENSG00000149311",-0.445457987805595,8.2569283474548,-4.28399844515721,6.1994362308136e-05,0.00576348984677773,1.53243732193688
