"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022613","ribonucleoprotein complex biogenesis",227,-0.475258874629715,-2.36734799355584,1e-10,9.5925e-08,8.54736842105263e-08,1798,"tags=58%, list=33%, signal=40%","8899/8666/81875/80135/22803/26574/30836/708/10992/51077/8683/6430/27043/65095/7375/51602/26523/10528/23451/11325/11168/23195/88745/96764/29889/8602/2971/23160/57050/55003/64434/27339/10514/5036/8780/9879/6635/55153/153443/25879/6632/6433/84946/27340/11338/10291/79066/55226/192669/1660/83939/23560/10772/1653/23076/11103/1939/79954/84549/4686/90441/51504/8662/5591/3326/57602/4869/8667/9277/23450/4931/6838/9221/10594/26121/9669/6733/26834/55636/57647/10412/8665/55661/6629/6634/51386/8664/51441/9775/10856/22889/55646/161424/24148/8850/27335/9733/25926/51575/23020/25804/9790/56949/79753/83743/10199/91746/26832/10885/22907/8562/23481/8451/57109/4927/11137/55341/8607/55720/29997/472/8161/5394/22827/26831/84811/6633/25983/54680/2091/117246"
"GO:0006396","RNA processing",481,-0.374610742773364,-2.00787171482879,1e-10,9.5925e-08,8.54736842105263e-08,1974,"tags=55%, list=36%, signal=38%","84687/22984/51096/10929/11051/55147/10907/55082/7247/5976/9406/55127/25949/57455/10180/9295/4116/8737/10921/131870/220988/79039/10236/5566/9416/23264/10421/389677/8732/79811/51341/8106/9343/8899/11129/54888/51637/81875/6741/80135/22803/9785/30836/22794/708/10992/51503/5725/1659/10474/11044/55677/51077/55174/8634/8683/6430/27043/65095/55250/7375/51602/54890/26523/10528/4670/23759/23451/6301/9967/1655/5411/9360/25962/11325/11168/25821/88745/96764/23524/8602/65110/23160/5937/57050/55003/8731/27339/5036/8780/10284/9879/6635/56257/1665/55131/23248/22927/51574/2521/153443/25879/6632/55623/6433/984/51593/8518/23398/9698/27340/11338/3312/51692/162989/10291/8563/8882/54973/79066/54407/63935/3184/55226/23283/55339/192669/55578/5430/10250/170506/29890/1660/3192/4088/23318/57680/23560/51428/10772/1653/23369/84991/9410/23076/87178/255967/115752/65123/11103/3550/79954/8295/6651/1198/93624/84549/4686/64118/51504/4691/3191/5591/7157/7257/57602/11052/3297/10949/8148/9277/84081/23450/4931/9221/55544/58517/10594/6626/285672/26121/79171/51585/3178/3187/57805/85437/6733/26834/3609/55636/57647/10412/55661/64783/6629/55726/6634/196441/84950/26173/51441/9775/123169/5295/22889/5978/57794/221092/3958/1025/55646/161424/3276/84148/24148/8850/9733/51493/25926/51575/57721/55119/83448/23020/143884/79872/25804/9790/56949/79753/10492/10199/22916/79869/91746/26832/10885/104/1153/23481/51759/5939/57109/11137/55720/29997/79026/10212/127253/8161/5394/22827/26831/84811/6633/25983/54680/2091/58509/116461/117246/125144/11180"
"GO:0045087","innate immune response",433,0.409622704798122,1.92161731466491,1e-10,9.5925e-08,8.54736842105263e-08,957,"tags=28%, list=18%, signal=25%","115362/710/2633/6279/713/115361/712/10410/3437/2634/6772/6280/3934/3433/6283/9246/140691/10622/26253/9447/1191/3429/57823/6714/653361/3430/83666/340205/92610/342510/9636/57590/5359/3105/51734/3659/3106/9111/58484/2219/837/2635/55122/10906/8970/8832/3133/51257/8349/8339/80216/4332/351/8519/2207/2214/6773/3107/2643/10383/4938/23765/5371/3717/54502/80212/11213/84243/91543/151636/3916/3512/4940/23569/3098/10581/9341/3684/7706/4939/25921/6352/64581/200315/3459/8346/84166/4688/3665/7791/79792/1374/7096/2597/55207/3718/3434/7099/57142/834/10346/6737/7040/85236/10666/7525/3428/567/127544/4179/5610/9908/8344/10211/57724/6732/7305/10955/199/7318/55601/4217/10241"
"GO:0140546","defense response to symbiont",484,0.400822821932462,1.89672546379898,1e-10,9.5925e-08,8.54736842105263e-08,957,"tags=29%, list=18%, signal=26%","115362/710/2633/6279/713/115361/712/10410/3437/2634/6772/6280/3934/3433/6283/9246/140691/10622/26253/9447/1191/3429/57823/6714/653361/3430/83666/340205/92610/342510/9636/57590/5359/3105/51734/3659/3106/9111/58484/2219/837/2635/55122/10906/8970/8832/3133/51257/8349/8339/80216/4332/351/8519/2207/2214/6773/3107/2643/10383/4938/23765/5371/3717/54502/4343/80212/11213/84243/91543/151636/3916/3512/10875/602/4940/23569/3098/10581/91351/9341/3684/5196/7706/4939/25921/51251/6352/3500/5611/64581/60509/200315/3459/8346/5197/84166/4688/3665/4069/7791/79792/1374/7096/2597/55207/3718/3434/7099/3151/57142/834/10346/6737/7040/85236/91607/22978/10666/7525/3428/567/127544/4179/5610/9908/8344/197259/10211/57724/6732/7305/10955/199/7318/55601/8673/4217/10241"
"GO:0032101","regulation of response to external stimulus",445,0.394538226864755,1.85379718390393,6.11314776047205e-10,4.69122959138625e-07,4.180106089687e-07,795,"tags=25%, list=15%, signal=23%","4317/115362/710/2633/6279/2634/6772/6280/10855/6283/6915/9021/11240/10622/26253/9447/6714/114769/653361/3430/83666/92610/342510/9636/57590/5359/3105/3315/3659/3106/9111/58484/2219/837/2635/55122/10906/3133/5154/80216/4332/196527/3572/22904/654/351/64805/83700/3480/6773/4938/23765/5371/3717/54502/1845/29956/80212/11213/5592/84243/90550/3554/91543/26585/151636/3916/1432/6774/10875/4940/79651/2149/836/5196/7706/22915/120892/11315/25921/6809/6352/64581/7292/10059/57175/84166/3665/2778/8530/79792/1374/5795/7096/7035/5747/239/5580/7099/57142/834/10346/6737/7057/7040/1326/22978/10666/7525/3428/5045"
"GO:0050878","regulation of body fluid levels",145,0.516440496288387,2.16556829307462,1.15670778146100e-09,7.39714626244306e-07,6.59120504243037e-07,980,"tags=39%, list=18%, signal=33%","710/107075310/10855/6915/10398/5321/6714/340205/3690/80739/5359/3315/160851/7414/2821/375033/5154/5265/196527/3572/2207/4778/64805/3717/5592/6403/1432/2815/5291/2149/5196/4939/22915/83706/7006/2778/5795/7035/239/7094/5580/2162/7099/51043/7057/3998/60/7494/80856/1608/3091/90139/2923/51206/8673/3611/5341"
"GO:0042742","defense response to bacterium",99,0.57961712653314,2.28093488382566,2.46384339494165e-09,1.35053815805587e-06,1.20339298447676e-06,721,"tags=39%, list=13%, signal=35%","115362/2633/6279/306/115361/2634/6280/4353/3934/6283/26253/9636/3105/58484/837/2635/55122/8970/3133/51257/8349/8339/351/2207/4938/840/51316/6403/3512/602/4940/4939/3500/8346/4069/79792/5580/7099/834"
"GO:0007599","hemostasis",112,0.559153369227287,2.24880011654284,4.15933246227125e-09,1.79050482837274e-06,1.59542396953614e-06,980,"tags=46%, list=18%, signal=38%","710/10855/6915/10398/5321/6714/340205/3690/80739/5359/3315/160851/7414/2821/375033/5154/5265/196527/3572/2207/4778/64805/3717/5592/6403/1432/2815/5291/2149/5196/22915/83706/7006/2778/5795/7035/239/7094/5580/2162/7099/7057/3998/60/80856/1608/90139/2923/51206/3611/5341"
"GO:0050817","coagulation",109,0.553464645207196,2.21656870479613,5.13306049311967e-09,1.79050482837274e-06,1.59542396953614e-06,1023,"tags=47%, list=19%, signal=39%","710/10855/6915/10398/5321/6714/340205/3690/80739/5359/3315/160851/7414/375033/5154/5265/196527/3572/2207/64805/3717/5592/6403/1432/2815/5291/2149/5663/5196/22915/83706/7006/2778/5795/7035/239/7094/5580/2162/7099/7057/3998/60/80856/1608/2923/51206/3611/5341/284/81027"
"GO:0042254","ribosome biogenesis",126,-0.489848555194542,-2.21449582538494,4.92067722185994e-09,1.79050482837274e-06,1.59542396953614e-06,1769,"tags=60%, list=33%, signal=41%","81875/80135/22803/26574/30836/708/51077/27043/65095/51602/10528/23195/88745/29889/8602/2971/23160/57050/55003/64434/10514/5036/8780/55153/153443/25879/84946/27340/79066/55226/83939/23560/23076/11103/79954/84549/90441/51504/5591/57602/4869/9277/4931/6838/9221/9669/55636/57647/10412/55661/51441/9775/55646/161424/8850/25926/51575/9790/83743/10199/10885/22907/23481/8451/57109/4927/11137/55341/55720/29997/5394/25983/54680/2091/117246"
