"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000154451",1.74940647571116,8.42277655245593,8.68561538156246,1.79822166885578e-12,9.79671165192628e-09,18.0134810198184
"ENSG00000117228",1.62993340951055,7.87149477037382,7.45015353164016,2.78914617363043e-10,7.59763417696928e-07,13.2027439113619
"ENSG00000162654",1.25734350388711,6.95203708894082,7.29230287990981,5.31215502703314e-10,9.64687352909218e-07,12.5360051533993
"ENSG00000162645",1.09386337490101,8.45758905757618,7.01711534113941,1.62939552618024e-09,2.21923670665749e-06,11.5443871493273
"ENSG00000115415",1.08979697922909,8.81299674113244,6.73384709256258,5.1410243808051e-09,5.60166016532524e-06,10.4502294849765
"ENSG00000149131",1.68776967093272,5.47033463878475,6.30640353818412,2.87252937198926e-08,2.23564857408536e-05,8.56388195179458
"ENSG00000162747",1.39213724019816,6.97714231764692,6.13986811703152,5.58336029848255e-08,3.80226836326662e-05,8.15862779027268
"ENSG00000168899",1.04923012961059,5.23026126191041,5.81773110122012,1.99598203739634e-07,9.88555467248658e-05,6.80695844240095
"ENSG00000142089",1.18771799336108,8.60219087022302,5.42491326139467,9.19942815199246e-07,0.000294814615129735,5.51288670800487
"ENSG00000143546",1.39245190493406,10.4266725098632,5.18199358397741,2.32679491844283e-06,0.000662605532497868,4.62557184979343
"ENSG00000138119",1.03015915226897,6.7876860539503,5.01265772124522,4.40373436699638e-06,0.00108739433832261,4.0674454719962
"ENSG00000138772",1.34299639810457,6.02652264104488,4.98775260017657,4.83372673083708e-06,0.00108739433832261,3.97824914555719
"ENSG00000163220",1.07554943146611,10.6400583877042,4.64137034064977,1.73242669536496e-05,0.0024200668298329,2.72818379207429
"ENSG00000106034",1.03795742785644,4.92685822838845,4.61605531827793,1.89898012282593e-05,0.00258641092728891,2.68591486421172
"ENSG00000173369",1.38293167362073,4.90219047356437,4.56714346332736,2.26609883993631e-05,0.00297920833079582,2.53149299424612
"ENSG00000173372",1.23586742885608,4.83357636092133,4.55607796637988,2.35827679979434e-05,0.00297920833079582,2.49433339966274
"ENSG00000119917",1.11267316623158,7.26897881090932,4.55668680518795,2.35311152088762e-05,0.00297920833079582,2.48661286922435
"ENSG00000274641",1.0318043990958,6.80457018219749,4.36721077481326,4.62630278139459e-05,0.00466742547278477,1.88955039223143
"ENSG00000118113",1.82318004643866,4.37094444012936,4.27836276709741,6.32295090512082e-05,0.00576348984677773,1.57559310251164
"ENSG00000157551",1.09922979060127,4.7480589203437,3.88470242003578,0.000242921697815487,0.0130840333587936,0.431799572163668
